subject_name,course_name,course_url
Business Courses,"
                     Valuation for Startups Using Multiple Approach
                   ",https://www.classcentral.com/course/valuation-multiples-6974
Business Courses,"
                     Organizational Behavior: How to Manage People
                   ",https://www.classcentral.com/course/managing-people-iese-7248
Business Courses,"
                     Marketing: Customer Needs and Wants
                   ",https://www.classcentral.com/course/marketing-customers-7250
Business Courses,"
                     Valuation and Financial Analysis For Startups Capstone
                   ",https://www.classcentral.com/course/valuation-for-startups-project-6977
Business Courses,"
                     Evaluación de inversiones en Bienes de Capital 
                   ",https://www.classcentral.com/course/evaluaciondeinversiones-8036
Business Courses,"
                     Professional Skills for International Business
                   ",https://www.classcentral.com/course/professional-skills-networking-8038
Business Courses,"
                     Marketing Strategy for Entrepreneurs
                   ",https://www.classcentral.com/course/marketing-strategy-entrepreneurs-8039
Business Courses,"
                     Quantitative Foundations for International Business
                   ",https://www.classcentral.com/course/quantitative-foundations-international-b-8042
Business Courses,"
                     Strategic Organization Design
                   ",https://www.classcentral.com/course/organization-design-8043
Business Courses,"
                     How to finance your venture ?
                   ",https://www.classcentral.com/course/finance-venture-8047
Business Courses,"
                     Research kitchen
                   ",https://www.classcentral.com/course/research-kitchen-8055
Business Courses,"
                     International Business Environment
                   ",https://www.classcentral.com/course/global-business-environment-8063
Business Courses,"
                     Evaluating Problems
                   ",https://www.classcentral.com/course/evaluating-problems-8238
Business Courses,"
                     Рынки капитала и финансовые институты или ""О чужих деньгах""
                   ",https://www.classcentral.com/course/capital-markets-financial-institutes-7348
Business Courses,"
                     Engineering Project Management: Initiating and Planning
                   ",https://www.classcentral.com/course/initiating-planning-7457
Business Courses,"
                     Visual Analytics with Tableau
                   ",https://www.classcentral.com/course/dataviz-visual-analytics-7621
Business Courses,"
                     Interest Rate Models
                   ",https://www.classcentral.com/course/interest-rate-models-7662
Business Courses,"
                     Personal Leadership Development Planning and Leading High Performing Teams
                   ",https://www.classcentral.com/course/leadership-development-planning-7768
Business Courses,"
                     Digital Business Models
                   ",https://www.classcentral.com/course/digital-business-models-7790
Business Courses,"
                     Коммерциализация технологий в промышленном комплексе
                   ",https://www.classcentral.com/course/commercialization-of-technology-7802
Business Courses,"
                     行銷典範轉移: 變動中的消費世界 (Marketing in a changing world)
                   ",https://www.classcentral.com/course/marketing-stp-crm-7804
Business Courses,"
                     Building Your Leadership Skills
                   ",https://www.classcentral.com/course/leadership-skills-7752
Business Courses,"
                     Inglés Empresarial: Gestión y Liderazgo 
                   ",https://www.classcentral.com/course/ingles-empresarial-gestion-liderazgo-4597
